choice_name;choice_label_en;choice_label_uk
not_able_pay_utilities;IDPs were not able to pay for utilities / other payments;ВПО не в змозі оплачувати комунальні послуги / здійснювати інші платежі
return;Area of origin was deemed safe for return;Місцевість, звідки прибули ВПО, визнана безпечною для повернення
not_abide_rules;IDPs did not abide by rules and regulations of site;ВПО не дотримувалися правил і норм, що діють у центрі
limited_period_of_hosting;There is a limited period of hosting;Встановлено обмежений термін перебування у центрі
at_own_idp_request;At own IDP request;За власним бажанням ВПО
relocation_to_another_center;Relocation to another center;Переселення до іншого центру
other;Other (specify);Інше, уточніть
share_one_space;Sharing one open space (e.g, gym or hall);Спільне використання одного відкритого простору (наприклад, спортзалу чи холу)
share_multiple_rooms;Sharing multiple rooms (multiple families sharing rooms);Спільне використання кімнат (кілька сімей живуть в одній кімнаті)
family_rooms;Accommodated in family rooms (each family has their own room);Розміщення у сімейних кімнатах (у кожної сім'ї є окрема кімната)
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
yes_full;Yes - there is a full allocation plan;Так - є повний план розміщення людей
somewhat;Somewhat - needs are catered for as and when people arrive;Частково - розміщення здійснюється по мірі прибуття людей
no_considerations;No - there is no allocation considerations;Ні, рекомендації щодо розміщення людей відсутні
none;None ;Немає
overcrowding_conditions;Overcrowding conditions;Переповненість центру
lack_of_privacy_in_the_sleeping_area;Lack of privacy in the sleeping area;Відсутність приватності в спальній зоні
non_segregated_showers;Non segregated showers;Нероздільні душові
non_segregated_toilets;Non segregated toilets;Нероздільні туалети
lack_of_accessible_toilets;Lack of accessible toilets;Відсутність туалетів
lack_of_accessible_showers;Lack of accessible showers;Відсутність душових
insufficient_number_of_showers;Insufficient number of showers;Недостатня кількість душових
insuffcient_number_of_toilets;Insufficient number of toilets;Недостатня кількість туалетів
insuficient_number_of_kitchens;Insufficient number of kitchens;Недостатня кількість кухонних приміщень
lack_of_playgrounds;Lack of playgrounds;Відсутність ігрових майданчиків
other;Other (specify);Інше, уточніть
none;None;Проблеми відсутні
too_small;Shelter space is too small/not enough space for entire displaced population;Площа центру занадто мала / недостатньо місця для розміщення всього переміщеного населення
lack_of_insulation;Lack of insulation from cold;Відсутність теплоізоляції
leaking_during_rain;Leaking during rain;Протікання під час дощу
limited_ventilation;Limited ventilation;Недостатня вентиляція
structure_is_damaged;Structure is damaged or needs repair/rehabilitation;Пошкодження конструкції будівлі або будівля центру потребує ремонту/реконструкції
lack_of_privacy;Lack of privacy inside shelter (no partitions, no doors);Відсутність можливості усамітнитися на території центру (відсутність перегородок, дверей)
lack_of_electricity;Lack of electricity;Проблеми з системою електропостачання
lack_of_heating;Lack of heating; Проблеми з системою опалення
problems_with_drainage_system;Problems with drainage system;Проблеми з каналізацією
problem_with_water_supply;Problem with water supply;Проблеми з водопроводом
problem_with_lighting_in_common_areas;Problem with lighting inside the building (in common areas, such as corridors);Проблеми з освітленням усередині будівлі (у місцях загального користування, наприклад, у коридорах)
problem_with_lighting_around_the_center;Problem with lighting around the center (street lights);Проблеми з освітленням на території центру (вуличні ліхтарі)
other;Other (specify);Інше, уточніть
not_sure;Not sure;Не впевнений
no_repairs;No repairs needed;Ремонт не потрібний
cracks_walls;Cracks in the interior or exterior walls of the building;Тріщини у внутрішніх або зовнішніх стінах будівлі
exposed_rebars;Cracks, holes or other damage and exposed rebars (rods) in concrete or corrosion in steel structure;Тріщини, отвори або інші пошкодження, оголена арматура (стрижні) у бетоні або корозія у сталевій конструкції
columns_beams;Cracks, holes or other damage and movement between columns and beams;Тріщини, отвори або інші ушкодження та зсуви між колонами та балками
floor_layer;Damage at each floor layer;Пошкодження підлоги
water_damage;Cracks, holes, including signs of water damage, and blocks is the roof are not secure and slipping or missing;Тріщини, отвори, у тому числі ознаки пошкодження водою, а також покрівля даху є ненадійною, зісковзує або відсутня
walls_not_completed;Walls are not completed and not fully mortared with vertical voids;Стіни не добудовані та не повністю оштукатурені з вертикальними порожнечами
doors;Doors need to be repaired;Двері потребують ремонту/заміни
windows;Windows need to be repaired;ВІкна потребують ремонту/заміни
current_repairs;Current repairs are needed (plastering walls and ceilings, painting walls, tiling, etc.);Потрібен поточний ремонт (штукатурка, фарбування, облицювання плиткою тощо)
repair_of_plumbing;Set/repair of plumbing (pipes, toilets, showers);Встановлення/ремонт/заміна сантехніки (труби, унітази, душові)
insulation_and_heating_system_reconstruction;Insulation and heating system reconstruction;Утеплення та реконструкція системи опалення
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
less_15;Less than 15 min;Менше 15 хвилин
less_hour;Less than an hour;Менше 1 години
more_hour;More than an hour;Більше 1 години
less_15;Less than 15 min;Менше 15 хвилин
less_hour;Less than an hour;Менше 1 години
more_hour;More than an hour;Більше 1 години
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
none;None;Жодні
government;Government;Державні органи
local_authorities;Local authorities;Місцева влада
international_ngo;International NGO;Міжнародні НУО
local_ngo;Local NGO;Національні НУО
volunteer_organisation;Volunteer organisation;Волонтерські організації
host_community;Host community;Приймаюча громада
religious_organizations;Religious organizations;Релігійні організації
other;Other (specify);Інше, уточніть
icrc;International Committee of the Red Cross;Міжнародний комітет Червоного Хреста
caritas;CARITAS;CARITAS
save_the_children;SAVE THE CHILDREN;ВРЯТУЙТЕ ДІТЕЙ (SAVE THE CHILDREN)
unhcr;UNHCR;УВКБ ООН (UNHCR)
un;UN;ООН (UN)
unicef;UNICEF;ЮНІСЕФ (UNICEF)
iom;IOM;МОМ (IOM)
med_air;MED AIR;MED AIR
nrc;NRC;NRC
acted;ACTED;ACTED
pin;PIN;Людина в біді (People in need)
doctors_without_borders;DOCTORS WITHOUT BORDERS;ЛІКАРИ БЕЗ КОРДОНІВ (DOCTORS WITHOUT BORDERS)
other;Other (specify);Інше, уточніть
dont_know;Do not know;Не знаю
r2p;R2P;Право на захист (R2P)
neemia;NEEMIA;NEEMIA
neeka;NEEKA;NEEKA
rokada;ROKADA;ROKADA
crimea_sos;CRIMEA SOS;CRIMEA SOS
other;Other (specify);Інше, уточніть
dont_know;Do not know;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
free;Free;Безкоштовний 
metered;Metered;З тарифікацією
dont_know;Don’t know;Не знаю
good;Good;Гарний
ok;Ok;Нормальний
poor;Poor;Поганий
dont_know;Don’t know;Не знаю
yes_sufficient;Yes, there is access and it is sufficient for the number of residents on sites;Так, доступ є і достатня кількість для мешканців центру
insufficient;There is access but it is insufficient for the number of residents on site;Доступ є, але недостатня кількість для мешканців центру
no;No, there is no access at all;Ні, доступу немає взагалі
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
folding_beds;Folding beds;Розкладні ліжка
stationary_beds;Stationary beds;Стаціонарні ліжка
mattresses;Mattresses;Матраци
bed_linen;Bed linen;Постільна білизна
pillows;Pillows;Подушки
sleeping_bags;Sleeping bags;Спальні мішки
blankets;Blankets;Ковдри
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
none;None;Жодні
government;Government;Державні органи
local_authorities;Local authorities;Місцева влада
international_ngo;International NGO;Міжнародні НУО
local_ngo;Local NGO;Національні НУО
volunteer_organisation;Volunteer organisation;Волонтерські організації
host_community;Host community;Приймаюча громада
religious_organizations;Religious organizations;Релігійні організації
other;Other (specify);Інше, уточніть
icrc;International Committee of the Red Cross;Міжнародний комітет Червоного Хреста
caritas;CARITAS;CARITAS
save_the_children;SAVE THE CHILDREN;ВРЯТУЙТЕ ДІТЕЙ (SAVE THE CHILDREN)
unhcr;UNHCR;УВКБ ООН (UNHCR)
un;UN;ООН (UN)
unicef;UNICEF;ЮНІСЕФ (UNICEF)
iom;IOM;МОМ (IOM)
med_air;MED AIR;MED AIR
nrc;NRC;NRC
acted;ACTED;ACTED
pin;PIN;Людина в біді (People in need)
doctors_without_borders;DOCTORS WITHOUT BORDERS;ЛІКАРИ БЕЗ КОРДОНІВ (DOCTORS WITHOUT BORDERS)
other;Other (specify);Інше, уточніть
dont_know;Do not know;Не знаю
r2p;R2P;Право на захист (R2P)
neemia;NEEMIA;NEEMIA
neeka;NEEKA;NEEKA
rokada;ROKADA;ROKADA
crimea_sos;CRIMEA SOS;CRIMEA SOS
other;Other (specify);Інше, уточніть
dont_know;Do not know;Не знаю
provided_government;Provided on site by the government;Надається центру урядовими організаціями
host_community;Host community;Приймаюча громада
provided_ngo;Provided on site by an NGO and volunteers;Надається центру НУО й волонтерами
social_restaurants;People access "social" restaurants (people are provided free food from restaurants in town);Люди харчуються в "соціальних" ресторанах (люди отримують безкоштовну їжу з ресторанів у місті)
not_access_food;People do not have access to food;Люди не мають доступу до їжі 
own_food;People purchase or cook their own food;Люди купують або готують їжу самостійно
at_the_expense_of_the_center;At the expense of the center;За рахунок центру
no_hosted_idps_yet;No hosted IDPs yet;Ще не розміщували ВПО
other;Other (specify);Інше, уточніть
few_less_25;Only a few (less than 25%);Лише деякі (менше 25%)
less_half_26_50;Half or less than half (approximately (26-50%);Половина або менше половини (приблизно (26-50%)
more_half_51_75;More than half (approximately (51-75%);Більше половини (приблизно (51-75%)
almost_all_76_100;All or almost all (approximately (76-100%);Всі або майже всі (приблизно (76-100%)
dont_know;Don't know;Не знаю
none;None;Ніхто
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
stove;Stove;Плита 
oven;Oven;Духовка 
fridge;Fridge;Холодильник 
kettle;Kettle;Чайник 
running_cold_water;Running (tap) cold water;Водопровідна холодна вода (з-під крану)
running_hot_water;Running (tap) hot water;Водопровідна гаряча вода (з-під крану)
pots_pans;Pots & pans;Каструлі та сковорідки
utensils;Utensils;Посуд 
storage_space;Storage space (pantry / cupboards);Місце для зберігання (комора/шафи)
microwave;Microwave;Мікрохвильова піч
other;Other (specify);Інше, уточніть
yes_site_management;Yes - kitchen cleaned by site management;Так - організовується керівництвом центру
yes_professional_cleaner;Yes - professional cleaner / cleaning company;Так - здійснюється професійною прибиральницею / клінінговою компанією
yes_cleaning_rotation;Yes - functioning cleaning rotation of IDPs ;Так - діє графік прибирання мешканцями центру (ВПО)
no;No - no functioning arrangement in place;Ні - встановлений порядок прибирання відсутній
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
soup_pots;Pots for soups;Каструлі (для перших страв)
frying_pans;Frying pans;Сковороди
electric_kettles;Electric kettle;Електричний чайник
cutlery;Cutlery;Столові прилади
reusable_plates;Reusable plates;Багаторазові тарілки
cups;Cups;чашки
disposable_plates;Disposable plates & cutlery (plastic);Одноразові тарілки та столові прилади (пластмасові)
baking_dishes;Baking dishes;Форми для випікання
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
partially;Partially;Частково
fresh_or_frozen_meat;Fresh or frozen meat (chicken, beef, pork) ;Свіже або заморожене м'ясо (курка, яловичина, свинина)
canned_fish_or_meat;Canned fish or meat ;Рибні чи м'ясні консерви
vegetables;Vegetables;Овочі
fruit;Fruit;Фрукти
staples;Staples (rice, wheat, pasta, buckwheat etc.) ;Базові продукти харчування (рис, пшениця, макарони, гречка тощо)
vegetable_oil;Vegetable oil ;Рослинна олія
powdered_milk;Powdered milk ;Сухе молоко
bottled_water;Bottled water ;Бутильована вода
flour;Wheat and/or corn flour ;Пшеничне та/або кукурудзяне борошно
spices;Spices (salt, pepper, coffee, tea);Спеції (сіль, перець, кава, чай)
sweets;Sweets (sugar, candy, cookies);Солодощі (цукор, цукерки, печиво)
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
instant_formula;Instant formula (powdered milk);Молочна суміш (сухе молоко)
pureed_meat;Pureed meat;Пюре з м'яса
vegetables_fruit;Vegetables and fruit;Овочі та фрукти
infant_cereal;Iron fortified infant cereal;Дитячі каші, збагачені залізом
juice;Juice;Соки
other;Other (specify);Інше, уточніть
none;None;Жодні
government;Government;Державні органи
local_authorities;Local authorities;Місцева влада
international_ngo;International NGO;Міжнародні НУО
local_ngo;Local NGO;Національні НУО
volunteer_organisation;Volunteer organisation;Волонтерські організації
host_community;Host community;Приймаюча громада
religious_organizations;Religious organizations;Релігійні організації
other;Other (specify);Інше, уточніть
icrc;International Committee of the Red Cross;Міжнародний комітет Червоного Хреста
caritas;CARITAS;CARITAS
save_the_children;SAVE THE CHILDREN;ВРЯТУЙТЕ ДІТЕЙ (SAVE THE CHILDREN)
unhcr;UNHCR;УВКБ ООН (UNHCR)
un;UN;ООН (UN)
unicef;UNICEF;ЮНІСЕФ (UNICEF)
iom;IOM;МОМ (IOM)
med_air;MED AIR;MED AIR
nrc;NRC;NRC
acted;ACTED;ACTED
pin;PIN;Людина в біді (People in need)
doctors_without_borders;DOCTORS WITHOUT BORDERS;ЛІКАРИ БЕЗ КОРДОНІВ (DOCTORS WITHOUT BORDERS)
other;Other (specify);Інше, уточніть
dont_know;Do not know;Не знаю
r2p;R2P;Право на захист (R2P)
neemia;NEEMIA;NEEMIA
neeka;NEEKA;NEEKA
rokada;ROKADA;ROKADA
crimea_sos;CRIMEA SOS;CRIMEA SOS
other;Other (specify);Інше, уточніть
dont_know;Do not know;Не знаю
provided_bottled_water;Bottled water is being provided;Надається бутильована вода 
drink_from_tap;People are drinking from the tap;Люди п'ють воду з-під крана 
available_filters;Filters for cleaning tapped water are available/installed in the facility;В центрі встановлені фільтри для очищення водопровідної води
own_water;People are bringing their own water;Люди приносять свою воду
borehole;Water from a well/borehole nearby;Вода з колодязя/свердловини поблизу
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
dont_know;Don’t know;Не знаю
yes_sufficient;Yes, there is access and it is sufficient for the number of residents on sites;Так, доступ є і достатня кількість для мешканців центру
insufficient;There is access but it is insufficient for the number of residents on site;Доступ є, але недостатня кількість для мешканців центру
no;No, there is no access at all;Ні, доступу немає взагалі
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
dont_know;Don’t know;Не знаю
yes;Yes;Так 
no;No;Ні
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
none;None;Не має
centralized;Centralized hot water supply;Централізоване гаряче водопостачання
geyzer;Geyzer;Газова колонка 
tankless_water_heater;Tankless water heater;Проточний водонагрівач
boilers;Boilers;Бойлери
other;Other (specify);Інше, уточніть
fully;Fully available;Повний доступ
partially_hours;Partially available (specific hours);Частковий доступ (у конкретні години)
partially_season;Partially available (depends on the season);Частковий доступ (у залежності від сезону)
other;Other (specify);Інше, уточніть
none;None;Не має
dont_know;Don’t know;Не знаю
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
yes;Yes;Так 
no;No;Ні
partially;Partially;Частково
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
detergents;Detergents (toilet, glass, floor, all-purpose) ;Миючі засоби (для туалетів, скла, підлоги, універсальні)
soap;Dish soap, sponge and brushes ;Рідина для миття посуду, губки та щітки
brooms;Brooms, mops and dustpans;Віники, швабри та совки
laundry_detergents;Laundry detergents ;Миючі засоби для прання
shower_curtains;Shower curtains and rods ;Душові фіранки та штанги
buckets;Buckets, tubs, rubber gloves ;Відра, тази, гумові рукавички
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
compact_washer;Compact washer;Компактна пральна машина
standard_front;Standard front load;Стандартна машина з фронтальним завантаженням
high_front;High capacity front load;Машина з фронтальним завантаженням великої місткості
standard_top;Standard top load;Стандартна машина з верхнім завантаженням
high_top;High capacity top load;Машина з верхнім завантаженням великої місткості
yes;Yes;Так 
no;No;Ні
