choice_name;choice_label_en;choice_label_uk
Tulchynskyi;Tulchynskyi;Тульчинський
Khmilnytskyi;Khmilnytskyi;Хмільницький
Volodymyr-Volynskyi;Volodymyr-Volynskyi;Володимир-Волинський
Kamin-Kashyrskyi;Kamin-Kashyrskyi;Камінь-Каширський
Kovelskyi;Kovelskyi;Ковельський
Lutskyi;Lutskyi;Луцький
Dniprovskyi;Dniprovskyi;Дніпровський
Kamianskyi;Kamianskyi;Кам’янський
Kryvorizkyi;Kryvorizkyi;Криворізький
Nikopolskyi;Nikopolskyi;Нікопольський
novomoskovskyi;Novomoskovskyi;Новомосковський
Pavlohradskyi;Pavlohradskyi;Павлоградський
Synelnykivskyi;Synelnykivskyi;Синельниківський
Donetskyi;Donetskyi;Донецький
Mariupolskyi;Mariupolskyi;Маріупольський
Luhanskyi;Luhanskyi;Луганський
Horlivskyi;Horlivskyi;Горлівський
Kramatorskyi;Kramatorskyi;Краматорський
Alchevskyi;Alchevskyi;Алчевський
Sievierodonetskyi;Sievierodonetskyi;Сєвєродонецький
Rovenkivskyi;Rovenkivskyi;Ровеньківський
Bakhmutskyi;Bakhmutskyi;Бахмутський
Dovzhanskyi;Dovzhanskyi;Довжанський
Pokrovskyi;Pokrovskyi;Покровський
Kalmiuskyi;Kalmiuskyi;Кальміуський
Volnovaskyi;Volnovaskyi;Волноваський
Starobilskyi;Starobilskyi;Старобільський
Svativskyi;Svativskyi;Сватівський
Shchastynskyi;Shchastynskyi;Щастинський
Berdychivskyi;Berdychivskyi;Бердичівський
Zhytomyrskyi;Zhytomyrskyi;Житомирський
Korostenskyi;Korostenskyi;Коростенський
novohrad-Volynskyi;Novohrad-Volynskyi;Новоград-Волинський
Berehivskyi;Berehivskyi;Берегівський
Mukachivskyi;Mukachivskyi;Мукачівський
Rakhivskyi;Rakhivskyi;Рахівський
Tiachivskyi;Tiachivskyi;Тячівський
Uzhhorodskyi;Uzhhorodskyi;Ужгородський
Khustskyi;Khustskyi;Хустський
Berdianskyi;Berdianskyi;Бердянський
Vasylivskyi;Vasylivskyi;Василівський
Zaporizkyi;Zaporizkyi;Запорізький
Melitopolskyi;Melitopolskyi;Мелітопольський
Polohivskyi;Polohivskyi;Пологівський
Verkhovynskyi;Verkhovynskyi;Верховинський
Ivano-Frankivskyi;Ivano-Frankivskyi;Івано-Франківський
Kaluskyi;Kaluskyi;Калуський
Kolomyiskyi;Kolomyiskyi;Коломийський
Kosivskyi;Kosivskyi;Косівський
Nadvirnianskyi;Nadvirnianskyi;Надвірнянський
Bilotserkivskyi;Bilotserkivskyi;Білоцерківський
Boryspilskyi;Boryspilskyi;Бориспільський
Brovarskyi;Brovarskyi;Броварський
Buchanskyi;Buchanskyi;Бучанський
Vyshhorodskyi;Vyshhorodskyi;Вишгородський
Obukhivskyi;Obukhivskyi;Обухівський
Fastivskyi;Fastivskyi;Фастівський
Holovanivskyi;Holovanivskyi;Голованівський
Kropyvnytskyi;Kropyvnytskyi;Кропивницький
novoukrainskyi;Novoukrainskyi;Новоукраїнський
Oleksandriiskyi;Oleksandriiskyi;Олександрійський
Drohobytskyi;Drohobytskyi;Дрогобицький
Zolochivskyi;Zolochivskyi;Золочівський
Lvivskyi;Lvivskyi;Львівський
Sambirskyi;Sambirskyi;Самбірський
Stryiskyi;Stryiskyi;Стрийський
Chervonohradskyi;Chervonohradskyi;Червоноградський
Yavorivskyi;Yavorivskyi;Яворівський
Bashtanskyi;Bashtanskyi;Баштанський
Voznesenskyi;Voznesenskyi;Вознесенський
Mykolaivskyi;Mykolaivskyi;Миколаївський
Pervomaiskyi;Pervomaiskyi;Первомайський
Berezivskyi;Berezivskyi;Березівський
Bilhorod-Dnistrovskyi;Bilhorod-Dnistrovskyi;Білгород-Дністровський
Bolhradskyi;Bolhradskyi;Болградський
Izmailskyi;Izmailskyi;Ізмаїльський
Odeskyi;Odeskyi;Одеський
Podilskyi;Podilskyi;Подільський
Rozdilnianskyi;Rozdilnianskyi;Роздільнянський
Kremenchutskyi;Kremenchutskyi;Кременчуцький
Lubenskyi;Lubenskyi;Лубенський
Myrhorodskyi;Myrhorodskyi;Миргородський
Poltavskyi;Poltavskyi;Полтавський
Varaskyi;Varaskyi;Вараський
Dubenskyi;Dubenskyi;Дубенський
Rivnenskyi;Rivnenskyi;Рівненський
Sarnenskyi;Sarnenskyi;Сарненський
Konotopskyi;Konotopskyi;Конотопський
Okhtyrskyi;Okhtyrskyi;Охтирський
Romenskyi;Romenskyi;Роменський
Sumskyi;Sumskyi;Сумський
Shostkynskyi;Shostkynskyi;Шосткинський
Kremenetskyi;Kremenetskyi;Кременецький
Ternopilskyi;Ternopilskyi;Тернопільський
Chortkivskyi;Chortkivskyi;Чортківський
Bohodukhivskyi;Bohodukhivskyi;Богодухівський
Iziumskyi;Iziumskyi;Ізюмський
Krasnohradskyi;Krasnohradskyi;Красноградський
Kupianskyi;Kupianskyi;Куп'янський
Lozivskyi;Lozivskyi;Лозівський
Kharkivskyi;Kharkivskyi;Харківський
Chuhuivskyi;Chuhuivskyi;Чугуївський
Beryslavskyi;Beryslavskyi;Бериславський
Henicheskyi;Henicheskyi;Генічеський
Kakhovskyi;Kakhovskyi;Каховський
Skadovskyi;Skadovskyi;Скадовський
Khersonskyi;Khersonskyi;Херсонський
Kamianets-Podilskyi;Kamianets-Podilskyi;Кам'янець-Подільський
Khmelnytskyi;Khmelnytskyi;Хмельницький
Shepetivskyi;Shepetivskyi;Шепетівський
Zvenyhorodskyi;Zvenyhorodskyi;Звенигородський
Zolotoniskyi;Zolotoniskyi;Золотоніський
Umanskyi;Umanskyi;Уманський
Cherkaskyi;Cherkaskyi;Черкаський
Vyzhnytskyi;Vyzhnytskyi;Вижницький
Dnistrovskyi;Dnistrovskyi;Дністровський
Cnernivetskyi;Cnernivetskyi;Чернівецький
Koriukivskyi;Koriukivskyi;Корюківський
Nizhynskyi;Nizhynskyi;Ніжинський
novhorod-Siverskyi;Novhorod-Siverskyi;Новгород-Сіверський
Prylutskyi;Prylutskyi;Прилуцький
Chernihivskyi;Chernihivskyi;Чернігівський
Kyivska;Kyivska;Київська
Ahronomichna;Ahronomichna;Агрономічна
Vinnytska;Vinnytska;Вінницька
Voronovytska;Voronovytska;Вороновицька
Hnivanska;Hnivanska;Гніванська
Illinetska;Illinetska;Іллінецька
Lypovetska;Lypovetska;Липовецька
Litynska;Litynska;Літинська
Luka-Meleshkivska;Luka-Meleshkivska;Лука-Мелешківська
Nemyrivska;Nemyrivska;Немирівська
Orativska;Orativska;Оратівська
Pohrebyshchenska;Pohrebyshchenska;Погребищенська
Stryzhavska;Stryzhavska;Стрижавська
Sutyskivska;Sutyskivska;Сутисківська
Tyvrivska;Tyvrivska;Тиврівська
Turbivska;Turbivska;Турбівська
Yakushynetska;Yakushynetska;Якушинецька
Bershadska;Bershadska;Бершадська
Haisynska;Haisynska;Гайсинська
Dashivska;Dashivska;Дашівська
Dzhulynska;Dzhulynska;Джулинська
Krasnopilska;Krasnopilska;Краснопільська
Kunkivska;Kunkivska;Кунківська
Ladyzhynska;Ladyzhynska;Ладижинська
Obodivska;Obodivska;Ободівська
Olhopilska;Olhopilska;Ольгопільська
Raihorodska;Raihorodska;Райгородська
Sobolivska;Sobolivska;Соболівська
Teplytska;Teplytska;Теплицька
Trostianetska;Trostianetska;Тростянецька
Chechelnytska;Chechelnytska;Чечельницька
Barska;Barska;Барська
Dzhurynska;Dzhurynska;Джуринська
Zhmerynska;Zhmerynska;Жмеринська
Kopaihorodska;Kopaihorodska;Копайгородська
Murafska;Murafska;Мурафська
Severynivska;Severynivska;Северинівська
Stanislavchytska;Stanislavchytska;Станіславчицька
Sharhorodska;Sharhorodska;Шаргородська
Babchynetska;Babchynetska;Бабчинецька
Vendychanska;Vendychanska;Вендичанська
Mohyliv-Podilska;Mohyliv-Podilska;Могилів-Подільська
Murovanokurylovetska;Murovanokurylovetska;Мурованокуриловецька
Chernivetska;Chernivetska;Чернівецька
Yampilska;Yampilska;Ямпільська
Yaryshivska;Yaryshivska;Яришівська
Bratslavska;Bratslavska;Брацлавська
Vapniarska;Vapniarska;Вапнярська
Horodkivska;Horodkivska;Городківська
Kryzhopilska;Kryzhopilska;Крижопільська
Pishchanska;Pishchanska;Піщанська
Studenianska;Studenianska;Студенянська
Tomashpilska;Tomashpilska;Томашпільська
Tulchynska;Tulchynska;Тульчинська
Shpykivska;Shpykivska;Шпиківська
Hlukhovetska;Hlukhovetska;Глуховецька
Zhdanivska;Zhdanivska;Жданівська
Ivanivska;Ivanivska;Іванівська
Kalynivska;Kalynivska;Калинівська
Koziatynska;Koziatynska;Козятинська
Makhnivska;Makhnivska;Махнівська
Samhorodotska;Samhorodotska;Самгородоцька
Ulanivska;Ulanivska;Уланівська
Khmilnytska;Khmilnytska;Хмільницька
Volodymyr-Volynska;Volodymyr-Volynska;Володимир-Волинська
Zaturtsivska;Zaturtsivska;Затурцівська
Zymnivska;Zymnivska;Зимнівська
Ivanychivska;Ivanychivska;Іваничівська
Lytovezka;Lytovezka;Литовезька
Lokachynska;Lokachynska;Локачинська
novovolynska;Novovolynska;Нововолинська
Ovadnivska;Ovadnivska;Оваднівська
Pavlivska;Pavlivska;Павлівська
Poromivska;Poromivska;Поромівська
Ustyluzka;Ustyluzka;Устилузька
Kamin-Kashyrska;Kamin-Kashyrska;Камінь-Каширська
Liubeshivska;Liubeshivska;Любешівська
Manevytska;Manevytska;Маневицька
Prylisnenska;Prylisnenska;Прилісненська
Soshychnenska;Soshychnenska;Сошичненська
Velymchenska;Velymchenska;Велимченська
Velytska;Velytska;Велицька
Vyshnivska;Vyshnivska;Вишнівська
Holobska;Holobska;Голобська
Holovnenska;Holovnenska;Головненська
Dubechnenska;Dubechnenska;Дубечненська
Dubivska;Dubivska;Дубівська
Zabolottivska;Zabolottivska;Заболоттівська
Zabrodivska;Zabrodivska;Забродівська
Kovelska;Kovelska;Ковельська
Kolodiazhnenska;Kolodiazhnenska;Колодяжненська
Lukivska;Lukivska;Луківська
Liublynetska;Liublynetska;Люблинецька
Liubomlska;Liubomlska;Любомльська
Povorska;Povorska;Поворська
Ratnivska;Ratnivska;Ратнівська
Rivnenska;Rivnenska;Рівненська
Samarivska;Samarivska;Самарівська
Serekhovychivska;Serekhovychivska;Сереховичівська
Smidynska;Smidynska;Смідинська
Starovyzhivska;Starovyzhivska;Старовижівська
Turiiska;Turiiska;Турійська
Shatska;Shatska;Шацька
Berestechkivska;Berestechkivska;Берестечківська
Boratynska;Boratynska;Боратинська
Horodyshchenska;Horodyshchenska;Городищенська
Horokhivska;Horokhivska;Горохівська
Dorosynivska;Dorosynivska;Доросинівська
Kivertsivska;Kivertsivska;Ківерцівська
Kolkivska;Kolkivska;Колківська
Kopachivska;Kopachivska;Копачівська
Lutska;Lutska;Луцька
Marianivska;Marianivska;Мар'янівська
Olytska;Olytska;Олицька
Pidhaitsivska;Pidhaitsivska;Підгайцівська
Rozhyshchenska;Rozhyshchenska;Рожищенська
Torchynska;Torchynska;Торчинська
Tsumanska;Tsumanska;Цуманська
Dniprovska;Dniprovska;Дніпровська
Kytaihorodska;Kytaihorodska;Китайгородська
Liubymivska;Liubymivska;Любимівська
Liashkivska;Liashkivska;Ляшківська
Mykolaivska;Mykolaivska;Миколаївська
Mohylivska;Mohylivska;Могилівська
novooleksandrivska;Novooleksandrivska;Новоолександрівська
novopokrovska;Novopokrovska;Новопокровська
Obukhivska;Obukhivska;Обухівська
Petrykivska;Petrykivska;Петриківська
Pidhorodnenska;Pidhorodnenska;Підгородненська
Sviatovasylivska;Sviatovasylivska;Святовасилівська
Slobozhanska;Slobozhanska;Слобожанська
Solonianska;Solonianska;Солонянська
Sursko-Lytovska;Sursko-Lytovska;Сурсько-Литовська
Tsarychanska;Tsarychanska;Царичанська
Chumakivska;Chumakivska;Чумаківська
Bozhedarivska;Bozhedarivska;Божедарівська
Verkhivtsivska;Verkhivtsivska;Верхівцівська
Verkhnodniprovska;Verkhnodniprovska;Верхньодніпровська
Vyshnivska;Vyshnivska;Вишнівська
Vilnohirska;Vilnohirska;Вільногірська
Zhovtovodska;Zhovtovodska;Жовтоводська
Zatyshnianska;Zatyshnianska;Затишнянська
Kamianska;Kamianska;Кам'янська
Krynychanska;Krynychanska;Криничанська
Lykhivska;Lykhivska;Лихівська
Piatykhatska;Piatykhatska;П'ятихатська
Saksahanska;Saksahanska;Саксаганська
Apostolivska;Apostolivska;Апостолівська
Vakulivska;Vakulivska;Вакулівська
Hleiuvatska;Hleiuvatska;Глеюватська
Hrechanopodivska;Hrechanopodivska;Гречаноподівська
Hrushivska;Hrushivska;Грушівська
Devladivska;Devladivska;Девладівська
Zelenodolska;Zelenodolska;Зеленодольська
Karpivska;Karpivska;Карпівська
Kryvorizka;Kryvorizka;Криворізька
Lozuvatska;Lozuvatska;Лозуватська
Nyvotrudivska;Nyvotrudivska;Нивотрудівська
novolativska;Novolativska;Новолатівська
novopilska;Novopilska;Новопільська
Sofiivska;Sofiivska;Софіївська
Shyrokivska;Shyrokivska;Широківська
Marhanetska;Marhanetska;Марганецька
Myrivska;Myrivska;Мирівська
Nikopolska;Nikopolska;Нікопольська
Pershotravnevska;Pershotravnevska;Першотравневська
Pokrovska;Pokrovska;Покровська
Pokrovska;Pokrovska;Покровська
Tomakivska;Tomakivska;Томаківська
Chervonohryhorivska;Chervonohryhorivska;Червоногригорівська
Hubynyska;Hubynyska;Губиниська
Lychkivska;Lychkivska;Личківська
Mahdalynivska;Mahdalynivska;Магдалинівська
novomoskovska;Novomoskovska;Новомосковська
Pereshchepynska;Pereshchepynska;Перещепинська
Pishchanska;Pishchanska;Піщанська
Cherkaska;Cherkaska;Черкаська
Chernechchynska;Chernechchynska;Чернеччинська
Bohdanivska;Bohdanivska;Богданівська
Verbkivska;Verbkivska;Вербківська
Mezhyritska;Mezhyritska;Межиріцька
Pavlohradska;Pavlohradska;Павлоградська
Ternivska;Ternivska;Тернівська
Troitska;Troitska;Троїцька
Yurivska;Yurivska;Юр'ївська
Brahynivska;Brahynivska;Брагинівська
Vasylkivska;Vasylkivska;Васильківська
Velykomykhailivska;Velykomykhailivska;Великомихайлівська
Dubovykivska;Dubovykivska;Дубовиківська
Zaitsivska;Zaitsivska;Зайцівська
Ilarionivska;Ilarionivska;Іларіонівська
Malomykhailivska;Malomykhailivska;Маломихайлівська
Mezhivska;Mezhivska;Межівська
Mykolaivska;Mykolaivska;Миколаївська
novopavlivska;Novopavlivska;Новопавлівська
Pershotravenska;Pershotravenska;Першотравенська
Petropavlivska;Petropavlivska;Петропавлівська
Pokrovska;Pokrovska;Покровська
Raivska;Raivska;Раївська
Rozdorska;Rozdorska;Роздорська
Synelnykivska;Synelnykivska;Синельниківська
Slavhorodska;Slavhorodska;Славгородська
Slovianska;Slovianska;Слов'янська
Ukrainska;Ukrainska;Українська
Donetska;Donetska;Донецька
Mariupolska;Mariupolska;Маріупольська
Luhanska;Luhanska;Луганська
Makiivska;Makiivska;Макіївська
Horlivska;Horlivska;Горлівська
Kramatorska;Kramatorska;Краматорська
Slovianska;Slovianska;Слов'янська
Alchevska;Alchevska;Алчевська
Sievierodonetska;Sievierodonetska;Сєвєродонецька
Lysychanska;Lysychanska;Лисичанська
Khrustalnenska;Khrustalnenska;Хрустальненська
Yenakiievska;Yenakiievska;Єнакієвська
Bakhmutska;Bakhmutska;Бахмутська
Kadiivska;Kadiivska;Кадіївська
Kostiantynivska;Kostiantynivska;Костянтинівська
Dovzhanska;Dovzhanska;Довжанська
Pokrovska;Pokrovska;Покровська
Rubizhanska;Rubizhanska;Рубіжанська
Druzhkivska;Druzhkivska;Дружківська
Khartsyzka;Khartsyzka;Харцизька
Chystiakivska;Chystiakivska;Чистяківська
Antratsytivska;Antratsytivska;Антрацитівська
Shakhtarska;Shakhtarska;Шахтарська
Myrnohradska;Myrnohradska;Мирноградська
Snizhnianska;Snizhnianska;Сніжнянська
Rovenkivska;Rovenkivska;Ровеньківська
Sokyrianska;Sokyrianska;Сорокинська
Yasynuvatska;Yasynuvatska;Ясинуватська
Toretska;Toretska;Торецька
Avdiivska;Avdiivska;Авдіївська
Dobropilska;Dobropilska;Добропільська
Khrestivska;Khrestivska;Хрестівська
Debaltsivska;Debaltsivska;Дебальцівська
Selydivska;Selydivska;Селидівська
Dokuchaievska;Dokuchaievska;Докучаєвська
Molodohvardiiska;Molodohvardiiska;Молодогвардійська
Volnovaska;Volnovaska;Волноваська
Lymanska;Lymanska;Лиманська
Popasnianska;Popasnianska;Попаснянська
Kreminska;Kreminska;Кремінська
Kurakhivska;Kurakhivska;Курахівська
Amvrosiivska;Amvrosiivska;Амвросіївська
Starobilska;Starobilska;Старобільська
Svativska;Svativska;Сватівська
Lutuhynska;Lutuhynska;Лутугинська
Bilozerska;Bilozerska;Білозерська
Ilovaiska;Ilovaiska;Іловайська
Marinska;Marinska;Мар'їнська
Mykolaivska;Mykolaivska;Миколаївська
novohrodivska;Novohrodivska;Новогродівська
Vuhledarska;Vuhledarska;Вугледарська
Hirska;Hirska;Гірська
Chasovoiarska;Chasovoiarska;Часовоярська
Stanychno-Luhanska;Stanychno-Luhanska;Станично-Луганська
Shchastynska;Shchastynska;Щастинська
Zhdanivska;Zhdanivska;Жданівська
Svitlodarska;Svitlodarska;Світлодарська
Siverska;Siverska;Сіверська
Kalmiuska;Kalmiuska;Кальміуська
novoazovska;Novoazovska;Новоазовська
Soledarska;Soledarska;Соледарська
Sartanska;Sartanska;Сартанська
Zymohirivska;Zymohirivska;Зимогір'ївська
novopskovska;Novopskovska;Новопсковська
Starobeshivska;Starobeshivska;Старобешівська
novoaidarska;Novoaidarska;Новоайдарська
Nikolska;Nikolska;Нікольська
Manhushska;Manhushska;Мангушська
Bilovodska;Bilovodska;Біловодська
Troitska;Troitska;Троїцька
Vuhlehirska;Vuhlehirska;Вуглегірська
Olhynska;Olhynska;Ольгинська
Bilokurakynska;Bilokurakynska;Білокуракинська
Markivska;Markivska;Марківська
Velykonovosilkivska;Velykonovosilkivska;Великоновосілківська
Milovska;Milovska;Міловська
novodonetska;Novodonetska;Новодонецька
Sviatohirska;Sviatohirska;Святогірська
Staromlynivska;Staromlynivska;Старомлинівська
Boikivska;Boikivska;Бойківська
Krasnorichenska;Krasnorichenska;Красноріченська
Chmyrivska;Chmyrivska;Чмирівська
Bilolutska;Bilolutska;Білолуцька
Ocheretynska;Ocheretynska;Очеретинська
Cherkaska;Cherkaska;Черкаська
Hrodivska;Hrodivska;Гродівська
Shulhynska;Shulhynska;Шульгинська
Kalchytska;Kalchytska;Кальчицька
Nyzhnoduvanska;Nyzhnoduvanska;Нижньодуванська
Myrnenska;Myrnenska;Мирненська
Nyzhnoteplivska;Nyzhnoteplivska;Нижньотеплівська
Udachnenska;Udachnenska;Удачненська
Khlibodarivska;Khlibodarivska;Хлібодарівська
Shyrokivska;Shyrokivska;Широківська
Komarska;Komarska;Комарська
Andriivska;Andriivska;Андріївська
Zvanivska;Zvanivska;Званівська
Kryvorizka;Kryvorizka;Криворізька
Illinivska;Illinivska;Іллінівська
Lozno-Oleksandrivska;Lozno-Oleksandrivska;Лозно-Олександрівська
Shakhivska;Shakhivska;Шахівська
Oleksandrivska;Oleksandrivska;Олександрівська
Kolomyichyska;Kolomyichyska;Коломийчиська
Andrushivska;Andrushivska;Андрушівська
Berdychivska;Berdychivska;Бердичівська
Vchoraishenska;Vchoraishenska;Вчорайшенська
Hryshkovetska;Hryshkovetska;Гришковецька
Krasnopilska;Krasnopilska;Краснопільська
Raihorodotska;Raihorodotska;Райгородоцька
Ruzhynska;Ruzhynska;Ружинська
Semenivska;Semenivska;Семенівська
Chervonenska;Chervonenska;Червоненська
Shvaikivska;Shvaikivska;Швайківська
Andrushkivska;Andrushkivska;Андрушківська
Berezivska;Berezivska;Березівська
Brusylivska;Brusylivska;Брусилівська
Vysokivska;Vysokivska;Високівська
Vyshevytska;Vyshevytska;Вишевицька
Vilshanska;Vilshanska;Вільшанська
Volytska;Volytska;Волицька
Hlybochytska;Hlybochytska;Глибочицька
Horodotska;Horodotska;Городоцька
Zhytomyrska;Zhytomyrska;Житомирська
Kvitneva;Kvitneva;Квітнева
Kornynska;Kornynska;Корнинська
Korostyshivska;Korostyshivska;Коростишівська
Kurnenska;Kurnenska;Курненська
Liubarska;Liubarska;Любарська
Myropilska;Myropilska;Миропільська
novoborivska;Novoborivska;Новоборівська
novohuivynska;Novohuivynska;Новогуйвинська
Oliivska;Oliivska;Оліївська
Popilnianska;Popilnianska;Попільнянська
Potiivska;Potiivska;Потіївська
Pulynska;Pulynska;Пулинська
Radomyshlska;Radomyshlska;Радомишльська
Romanivska;Romanivska;Романівська
Stanyshivska;Stanyshivska;Станишівська
Starosiletska;Starosiletska;Старосілецька
Teterivska;Teterivska;Тетерівська
Kharytonivska;Kharytonivska;Харитонівська
Khoroshivska;Khoroshivska;Хорошівська
Cherniakhivska;Cherniakhivska;Черняхівська
Chudniv;Chudniv;Чуднівська
Bilokorovytska;Bilokorovytska;Білокоровицька
Hladkovytska;Hladkovytska;Гладковицька
Horshchykivska;Horshchykivska;Горщиківська
Irshanska;Irshanska;Іршанська
Korostenska;Korostenska;Коростенська
Luhynska;Luhynska;Лугинська
Malynska;Malynska;Малинська
Narodytska;Narodytska;Народицька
Ovrutska;Ovrutska;Овруцька
Olevska;Olevska;Олевська
Slovechanska;Slovechanska;Словечанська
Ushomyrska;Ushomyrska;Ушомирська
Chopovytska;Chopovytska;Чоповицька
Baranivska;Baranivska;Баранівська
Barashivska;Barashivska;Барашівська
Bronykivska;Bronykivska;Брониківська
Horodnytska;Horodnytska;Городницька
Dovbyska;Dovbyska;Довбиська
Dubrivska;Dubrivska;Дубрівська
Yemilchynska;Yemilchynska;Ємільчинська
novohrad-Volynska;Novohrad-Volynska;Новоград-Волинська
Pishchivska;Pishchivska;Піщівська
Stryivska;Stryivska;Стриївська
Chyzhivska;Chyzhivska;Чижівська
Yarunska;Yarunska;Ярунська
Bativska;Bativska;Батівська
Berehivska;Berehivska;Берегівська
Velykoberezka;Velykoberezka;Великоберезька
Velykobyihanska;Velykobyihanska;Великобийганська
Vylotska;Vylotska;Вилоцька
Vynohradivska;Vynohradivska;Виноградівська
Kamianska;Kamianska;Кам'янська
Korolivska;Korolivska;Королівська
Kosonska;Kosonska;Косоньська
Pyiterfolvivska;Pyiterfolvivska;Пийтерфолвівська
Velykoluchkivska;Velykoluchkivska;Великолучківська
Verkhnokoropetska;Verkhnokoropetska;Верхньокоропецька
Volovetska;Volovetska;Воловецька
Horondivska;Horondivska;Горондівська
Zhdeniivska;Zhdeniivska;Жденіївська
Ivanovetska;Ivanovetska;Івановецька
Kolchynska;Kolchynska;Кольчинська
Mukachivska;Mukachivska;Мукачівська
Nelipynska;Nelipynska;Неліпинська
Nyzhnovoritska;Nyzhnovoritska;Нижньоворітська
Polianska;Polianska;Полянська
Svaliavska;Svaliavska;Свалявська
Chynadiivska;Chynadiivska;Чинадіївська
Bohdanska;Bohdanska;Богданська
Velykobychkivska;Velykobychkivska;Великобичківська
Rakhivska;Rakhivska;Рахівська
Yasinianska;Yasinianska;Ясінянська
Bedevlianska;Bedevlianska;Бедевлянська
Bushtynska;Bushtynska;Буштинська
Vilkhovetska;Vilkhovetska;Вільховецька
Dubivska;Dubivska;Дубівська
Neresnytska;Neresnytska;Нересницька
Solotvynska;Solotvynska;Солотвинська
Teresvianska;Teresvianska;Тересвянська
Tiachivska;Tiachivska;Тячівська
Uhlianska;Uhlianska;Углянська
Ust-Chornianska;Ust-Chornianska;Усть-Чорнянська
Baranynska;Baranynska;Баранинська
Velykobereznianska;Velykobereznianska;Великоберезнянська
Velykodobronska;Velykodobronska;Великодобронська
Dubrynytska-Malobereznianska;Dubrynytska-Malobereznianska;Дубриницько-Малоберезнянська
Kostrynska;Kostrynska;Костринська
Onokivska;Onokivska;Оноківська
Perechynska;Perechynska;Перечинська
Serednianska;Serednianska;Середнянська
Stavnenska;Stavnenska;Ставненська
Siurtivska;Siurtivska;Сюртівська
Turie-Remetivska;Turie-Remetivska;Тур'є-Реметівська
Uzhhorodska;Uzhhorodska;Ужгородська
Kholmkivska;Kholmkivska;Холмківська
Chopska;Chopska;Чопська
Bilkivska;Bilkivska;Білківська
Vyshkivska;Vyshkivska;Вишківська
Horinchivska;Horinchivska;Горінчівська
Dovzhanska;Dovzhanska;Довжанська
Drahivska;Drahivska;Драгівська
Zarichanska;Zarichanska;Зарічанська
Irshavska;Irshavska;Іршавська
Keretskivska;Keretskivska;Керецьківська
Kolochavska;Kolochavska;Колочавська
Mizhhirska;Mizhhirska;Міжгірська
Pylypetska;Pylypetska;Пилипецька
Synevyrska;Synevyrska;Синевирська
Khustska;Khustska;Хустська
Andrivska;Andrivska;Андрівська
Andriivska;Andriivska;Андріївська
Berdianska;Berdianska;Бердянська
Berestivska;Berestivska;Берестівська
Kolarivska;Kolarivska;Коларівська
Osypenkivska;Osypenkivska;Осипенківська
Prymorska;Prymorska;Приморська
Chernihivska;Chernihivska;Чернігівська
Blahovishchenska;Blahovishchenska;Благовіщенська
Vasylivska;Vasylivska;Василівська
Velykobilozerska;Velykobilozerska;Великобілозерська
Vodianska;Vodianska;Водянська
Dniprorudnenska;Dniprorudnenska;Дніпрорудненська
Enerhodarska;Enerhodarska;Енергодарська
Kamiansko-Dniprovska;Kamiansko-Dniprovska;Кам'янсько-Дніпровська
Malobilozerska;Malobilozerska;Малобілозерська
Mykhailivska;Mykhailivska;Михайлівська
Rozdolska;Rozdolska;Роздольська
Stepnohirska;Stepnohirska;Степногірська
Bilenkivska;Bilenkivska;Біленьківська
Vilnianska;Vilnianska;Вільнянська
Dolynska;Dolynska;Долинська
Zaporizka;Zaporizka;Запорізька
Komyshuvaska;Komyshuvaska;Комишуваська
Kushuhumska;Kushuhumska;Кушугумська
Matviivska;Matviivska;Матвіївська
Mykhailivska;Mykhailivska;Михайлівська
Mykhailo-Lukashivska;Mykhailo-Lukashivska;Михайло-Лукашівська
novomykolaivska;Novomykolaivska;Новомиколаївська
novooleksandrivska;Novooleksandrivska;Новоолександрівська
Pavlivska;Pavlivska;Павлівська
Petro-Mykhailivska;Petro-Mykhailivska;Петро-Михайлівська
Stepnenska;Stepnenska;Степненська
Tavriiska;Tavriiska;Таврійська
Ternuvatska;Ternuvatska;Тернуватська
Shyrokivska;Shyrokivska;Широківська
Veselivska;Veselivska;Веселівська
Kyrylivska;Kyrylivska;Кирилівська
Kostiantynivska;Kostiantynivska;Костянтинівська
Melitopolska;Melitopolska;Мелітопольська
Myrnenska;Myrnenska;Мирненська
novenska;Novenska;Новенська
novobohdanivska;Novobohdanivska;Новобогданівська
novovasylivska;Novovasylivska;Нововасилівська
novouspenivska;Novouspenivska;Новоуспенівська
Oleksandrivska;Oleksandrivska;Олександрівська
Plodorodnenska;Plodorodnenska;Плодородненська
Pryazovska;Pryazovska;Приазовська
Semenivska;Semenivska;Семенівська
Terpinnivska;Terpinnivska;Терпіннівська
Chkalovska;Chkalovska;Чкаловська
Yakymivska;Yakymivska;Якимівська
Bilmatska;Bilmatska;Більмацька
Vozdvyzhivska;Vozdvyzhivska;Воздвижівська
Voskresenska;Voskresenska;Воскресенська
Huliaipilska;Huliaipilska;Гуляйпільська
Komysh-Zorianska;Komysh-Zorianska;Комиш-Зорянська
Malynivska;Malynivska;Малинівська
Malotokmachanska;Malotokmachanska;Малотокмачанська
Molochanska;Molochanska;Молочанська
Orikhivska;Orikhivska;Оріхівська
Polohivska;Polohivska;Пологівська
Preobrazhenska;Preobrazhenska;Преображенська
Rozivska;Rozivska;Розівська
Smyrnovska;Smyrnovska;Смирновська
Tokmatska;Tokmatska;Токмацька
